FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Darmstadt,away_Augsburg,away_Bayern Munich,away_Dortmund,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Hamburg,away_Hannover,away_Hertha,away_Hoffenheim,away_Ingolstadt,away_Leverkusen,away_M'gladbach,away_Mainz,away_RB Leipzig,away_Schalke 04,away_Stuttgart,away_Werder Bremen,away_Wolfsburg
1.0,1.0,0.0,1.0,11,14,4,5,5,9,21,22,1,2,0,0,15-16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,5,15,1,2,4,6,13,16,3,2,0,0,15-16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,5,18,2,6,1,5,10,8,2,1,0,0,15-16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,9,12,3,4,5,1,20,19,3,1,0,1,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,2.0,0.0,14,14,4,7,2,6,12,20,1,2,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,1.0,9,19,3,6,5,3,14,16,2,1,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,0.0,1.0,0.0,15,8,3,3,3,2,14,18,4,2,0,0,15-16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,9,12,1,2,4,7,16,12,2,1,0,0,15-16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,10,9,3,5,4,3,18,12,4,1,0,0,15-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,6,11,2,7,2,9,13,20,3,2,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1.0,0.0,1.0,12,14,6,3,3,6,20,16,6,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,5,13,1,7,2,4,12,16,0,1,0,0,15-16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,11,16,6,5,3,8,14,17,2,1,0,0,15-16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,2.0,0.0,15,9,6,3,6,3,14,18,4,1,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,6,8,3,3,2,4,20,22,2,3,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,11,12,6,4,4,8,13,12,2,2,0,0,15-16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,9,21,0,3,3,6,12,13,3,0,0,0,15-16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,0.0,1.0,8,14,1,3,1,4,16,13,1,2,0,0,16-17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,12,15,3,4,2,6,16,18,1,1,0,0,16-17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,9,14,2,7,5,10,18,21,2,1,0,0,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,1.0,9,9,5,1,1,4,17,14,0,2,0,1,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,4,11,0,4,2,6,13,16,4,2,0,0,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,0.0,1.0,18,15,4,7,8,11,19,15,1,4,0,0,16-17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,10,21,2,5,1,4,16,24,2,4,0,0,16-17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,10,13,2,2,3,1,18,11,1,2,0,0,16-17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,8,14,2,4,4,6,12,16,1,1,0,0,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.0,3.0,0.0,10,14,4,7,3,4,24,20,2,4,0,0,16-17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,15,14,7,4,0,12,10,20,2,2,0,0,16-17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,5,18,2,3,1,1,17,16,1,0,0,0,16-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,11,13,5,6,5,11,16,17,3,2,1,1,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1.0,0.0,13,14,2,7,3,8,11,13,0,2,0,0,16-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,11,26,5,8,2,9,24,14,5,3,0,1,16-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2.0,0.0,1.0,14,9,4,4,7,6,16,15,2,0,0,0,16-17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,11,16,2,5,4,6,17,14,3,0,0,0,16-17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
