FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Munich 1860,away_Bayern Munich,away_Bielefeld,away_Bochum,away_Cottbus,away_Dortmund,away_Dresden,away_Duisburg,away_Dusseldorf,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Hamburg,away_Hannover,away_Hansa Rostock,away_Hertha,away_Kaiserslautern,away_Karlsruhe,away_Leverkusen,away_M'gladbach,away_Nurnberg,away_Schalke 04,away_St Pauli,away_Stuttgart,away_Uerdingen,away_Ulm,away_Unterhaching,away_Werder Bremen,away_Wolfsburg
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,95-96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,96-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,97-98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,4.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,98-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
