FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Paderborn,away_Augsburg,away_Bayern Munich,away_Dortmund,away_Ein Frankfurt,away_FC Koln,away_Fortuna Dusseldorf,away_Freiburg,away_Hamburg,away_Hannover,away_Hertha,away_Hoffenheim,away_Leverkusen,away_M'gladbach,away_Mainz,away_RB Leipzig,away_Schalke 04,away_Stuttgart,away_Union Berlin,away_Werder Bremen,away_Wolfsburg
1.0,1.0,1.0,1.0,10,14,3,4,4,3,16,14,2,2,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,0.0,1.0,8,4,4,1,5,1,13,18,0,2,0,0,14-15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,17,14,4,2,7,5,11,13,1,0,0,0,14-15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,24,11,8,4,9,0,9,18,1,1,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,14,11,5,3,3,4,10,13,0,1,0,0,14-15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,18,10,6,4,6,1,14,27,0,2,0,0,14-15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,2.0,0.0,8,13,4,5,1,6,15,11,3,1,0,0,14-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,24,4,8,2,6,1,15,26,2,4,0,0,14-15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,21,16,4,8,5,7,9,22,0,3,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1.0,0.0,13,12,3,4,5,5,11,18,1,2,0,0,14-15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,13,17,3,9,4,4,10,13,0,0,1,0,14-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,9,11,2,6,9,8,15,17,1,1,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,15,8,7,2,9,4,19,19,0,2,0,1,14-15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,14,16,4,5,6,7,14,21,1,2,0,0,14-15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,20,13,8,6,14,6,22,28,1,1,1,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,2.0,0.0,16,10,4,5,11,3,9,18,0,3,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1.0,1.0,1.0,15,18,5,3,2,8,12,18,2,2,0,0,14-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1.0,2.0,0.0,15,9,2,4,9,5,20,6,3,1,0,0,19-20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,9,18,1,11,3,5,17,12,2,1,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1.0,0.0,10,18,5,6,11,5,7,6,1,1,0,0,19-20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,16,18,7,7,7,10,8,18,1,4,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,0.0,1.0,14,18,6,4,4,7,21,17,5,4,0,0,19-20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,12,13,4,5,5,7,15,12,1,3,0,0,19-20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,3.0,0.0,8,18,4,6,6,6,10,13,3,3,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1.0,1.0,14,15,3,2,2,3,19,16,2,4,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,0.0,1.0,19,20,5,5,3,8,11,11,3,2,0,0,19-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,3.0,0.0,13,12,7,7,6,4,8,12,4,1,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,10,9,7,5,3,7,15,17,3,3,1,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,20,17,4,6,5,8,14,12,2,2,0,0,19-20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,16,15,2,3,5,9,8,12,3,4,0,0,19-20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,13,18,3,7,2,8,14,13,3,0,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,10,16,1,11,2,8,4,6,2,3,0,0,19-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,3.0,0.0,20,11,8,8,11,2,17,18,6,3,0,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,11,22,1,10,3,5,11,13,4,2,1,0,19-20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
